ms,degC
48,29.62
77,29.62
106,29.62
136,29.62
165,29.62
195,29.62
224,29.62
253,29.62
283,29.62
312,29.62
342,29.62
371,29.62
401,29.62
430,29.62
459,29.62
489,29.62
518,30.12
547,30.12
577,30.12
606,30.12
635,30.12
665,30.12
695,30.12
723,30.12
1024,30.25
1529,30.37
2035,30.50
2541,30.56
3047,30.69
3553,30.81
4059,30.94
4564,31.00
5070,31.06
5576,31.12
6082,31.25
6589,31.31
7095,31.37
7601,31.44
8107,31.50
8612,31.56
9118,31.62
9624,31.69
10131,31.75
10637,31.81
11143,31.87
11649,31.87
12155,31.94
12661,31.94
13167,32.00
13674,32.06
14180,32.13
14686,32.19
15193,32.19
15698,32.31
16204,32.25
16711,32.31
17217,32.38
17723,32.44
18230,32.44
18736,32.50
19241,32.50
19748,32.56
20254,32.56
20761,32.63
21267,32.63
21773,32.63
22280,32.69
22786,32.69
23292,32.75
23798,32.75
24305,32.75
24811,32.88
25317,32.88
25824,32.88
26330,32.88
26836,32.88
27342,32.94
27849,32.94
28355,33.00
28862,33.00
29368,33.00
29874,33.06
30381,33.06
30886,33.06
31393,33.06
31899,33.13
32406,33.13
32913,33.19
33419,33.19
33926,33.19
34432,33.25
34938,33.25
35444,33.25
35951,33.25
36457,33.31
36964,33.25
37470,33.31
37977,33.31
38482,33.31
38989,33.38
39495,33.38
40002,33.38
40508,33.44
41015,33.44
41521,33.44
42028,33.50
42533,33.44
43040,33.50
43546,33.44
44053,33.50
44559,33.50
45066,33.56
45573,33.50
46078,33.56
46585,33.63
47091,33.63
47598,33.63
48104,33.56
48611,33.63
49118,33.63
49624,33.69
50130,33.69
50636,33.69
51143,33.69
51650,33.69
52156,33.69
52663,33.75
53169,33.69
53676,33.75
54181,33.75
54688,33.75
55195,33.75
55701,33.75
56208,33.75
56714,33.81
57221,33.81
57728,33.81
58233,33.81
58740,33.81
59247,33.88
59753,33.88
60260,33.88
60767,33.88
61273,33.88
61779,33.88
62286,33.88
62792,33.88
63299,33.94
63805,33.94
64312,33.94
64819,33.94
65325,33.94
65831,34.00
66337,33.94
66844,34.00
67351,34.00
67857,33.94
68364,34.00
68871,34.00
69377,34.00
69883,34.00
70390,34.00
70896,34.00
71403,34.00
71910,34.00
72416,34.00
72923,34.06
73430,34.06
73935,34.06
74442,34.06
74949,34.06
75455,34.13
75962,34.06
76468,34.13
76975,34.13
77481,34.13
77987,34.13
78494,34.13
79000,34.13
79507,34.19
80014,34.19
80520,34.19
81027,34.19
81533,34.19
82039,34.19
82546,34.19
83053,34.25
83560,34.25
84066,34.25
84573,34.25
85080,34.25
85585,34.25
86092,34.25
86599,34.25
87105,34.25
87612,34.25
88119,34.25
88626,34.31
89132,34.31
89638,34.25
90145,34.31
90651,34.31
91158,34.31
91665,34.31
92172,34.31
92678,34.31
93185,34.31
93691,34.31
94197,34.31
94704,34.31
95211,34.31
95718,34.31
96224,34.31
96731,34.31
97238,34.38
97743,34.38
98250,34.38
98757,34.38
99264,34.38
99770,34.44
10
