ms,degC
48,34.88
77,34.88
106,34.88
136,34.88
165,34.88
195,34.88
224,34.88
253,34.88
283,34.88
312,34.88
342,34.88
371,34.88
400,34.88
430,34.88
459,34.88
489,34.88
518,34.88
547,34.88
577,34.88
606,34.88
635,34.88
665,34.88
695,34.88
723,34.88
1025,34.94
1531,34.94
2038,35.00
2545,34.94
3051,34.94
3558,35.00
4065,35.00
4572,35.00
5079,35.00
5584,35.00
6091,35.06
6598,35.06
7105,35.06
7612,35.06
8118,35.06
8625,35.06
9132,35.13
9638,35.13
10144,35.13
10651,35.13
11158,35.13
11665,35.13
12172,35.13
12679,35.13
13186,35.13
13692,35.19
14198,35.19
14705,35.13
15212,35.19
15719,35.19
16226,35.19
16733,35.19
17240,35.19
17746,35.19
18253,35.19
18760,35.19
19267,35.19
19773,35.25
20280,35.25
20787,35.25
21294,35.19
21800,35.25
22307,35.25
22814,35.31
23321,35.25
23828,35.25
24334,35.25
24841,35.25
25348,35.25
25854,35.31
26361,35.25
26868,35.31
27375,35.31
27882,35.31
28388,35.31
28895,35.31
29402,35.31
29908,35.31
30415,35.31
30922,35.31
31429,35.31
31936,35.31
32443,35.31
32950,35.31
33457,35.31
33964,35.38
34469,35.38
34976,35.38
35483,35.38
35990,35.38
36497,35.38
37004,35.38
37511,35.38
38018,35.44
38524,35.38
39031,35.38
39538,35.44
40044,35.38
40551,35.38
41058,35.44
41565,35.44
42072,35.38
42578,35.38
43085,35.38
43592,35.38
44099,35.44
44606,35.38
45113,35.44
45620,35.44
46127,35.44
46633,35.44
47140,35.44
47646,35.44
48153,35.44
48660,35.44
49167,35.44
49674,35.44
50181,35.44
50688,35.50
51194,35.50
51701,35.50
52208,35.44
52715,35.44
53222,35.50
53729,35.44
54235,35.50
54742,35.44
55248,35.50
55755,35.50
56262,35.50
56769,35.44
57276,35.50
57783,35.50
58290,35.50
58797,35.50
59303,35.50
59810,35.50
60317,35.50
60823,35.50
61330,35.50
61837,35.56
62344,35.56
62851,35.56
63357,35.50
63864,35.56
64371,35.50
64878,35.56
65385,35.56
65892,35.50
66399,35.56
66906,35.56
67411,35.50
67918,35.56
68425,35.56
68932,35.56
69439,35.56
69946,35.56
70453,35.56
70960,35.56
71467,35.56
71973,35.56
72480,35.56
72987,35.56
73493,35.56
74000,35.56
74507,35.56
75014,35.56
75521,35.56
76027,35.56
76534,35.56
77041,35.56
77548,35.63
78055,35.56
78562,35.56
79069,35.63
79576,35.63
80081,35.56
80588,35.56
81095,35.63
81602,35.63
82109,35.63
82616,35.63
83123,35.63
83630,35.56
84136,35.63
84643,35.63
85149,35.63
85656,35.63
86163,35.63
86670,35.56
87177,35.63
87684,35.63
88190,35.63
88697,35.63
89204,35.63
89711,35.63
90218,35.63
90725,35.63
91231,35.63
91738,35.63
92244,35.63
92751,35.63
93258,35.63
93765,35.63
94272,35.63
94779,35.69
95286,35.63
95793,35.63
96300,35.63
96806,35.69
97313,35.69
97820,35.63
98327,35.63
98834,35.69
99341,35.69
99848,35.63
10
