ms,degC
48,29.00
77,29.00
106,29.00
136,29.00
165,29.00
195,29.00
224,29.00
253,29.00
283,29.00
312,29.00
342,29.00
371,29.00
400,29.00
430,29.00
459,29.00
489,29.00
518,29.44
547,29.44
577,29.44
606,29.44
635,29.44
665,29.44
694,29.44
723,29.44
1024,29.56
1529,29.69
2035,29.75
2541,29.81
3047,29.94
3553,30.00
4058,30.06
4563,30.12
5069,30.19
5575,30.31
6081,30.31
6587,30.44
7093,30.50
7599,30.56
8104,30.62
8610,30.69
9116,30.69
9622,30.75
10128,30.81
10634,30.87
11141,30.94
11646,30.94
12152,30.94
12658,31.06
13164,31.06
13670,31.12
14176,31.12
14682,31.19
15188,31.19
15694,31.25
16200,31.31
16706,31.31
17212,31.37
17718,31.37
18224,31.44
18731,31.44
19236,31.50
19742,31.50
20248,31.50
20754,31.56
21260,31.56
21767,31.56
22273,31.62
22778,31.62
23284,31.69
23790,31.69
24297,31.69
24803,31.75
25309,31.81
25815,31.81
26321,31.81
26827,31.81
27333,31.87
27839,31.87
28346,31.94
28852,31.87
29358,31.94
29863,31.94
30370,32.00
30876,32.00
31382,32.00
31888,32.06
32395,32.06
32901,32.06
33406,32.06
33913,32.13
34419,32.13
34925,32.13
35432,32.13
35938,32.19
36444,32.19
36951,32.19
37456,32.19
37962,32.19
38469,32.25
38975,32.25
39481,32.25
39987,32.31
40494,32.31
40999,32.31
41505,32.31
42012,32.38
42518,32.38
43024,32.38
43531,32.38
44037,32.38
44542,32.44
45049,32.38
45555,32.38
46061,32.44
46567,32.44
47074,32.50
47580,32.50
48086,32.50
48592,32.50
49098,32.44
49605,32.50
50111,32.50
50617,32.56
51124,32.50
51630,32.56
52135,32.56
52642,32.56
53148,32.63
53654,32.56
54161,32.63
54667,32.63
55174,32.63
55680,32.63
56185,32.63
56692,32.69
57198,32.69
57704,32.69
58210,32.69
58717,32.75
59223,32.69
59729,32.75
60235,32.75
60741,32.75
61248,32.75
61754,32.75
62261,32.81
62767,32.81
63272,32.81
63779,32.88
64285,32.81
64791,32.81
65298,32.81
65804,32.81
66311,32.88
66817,32.88
67322,32.88
67829,32.88
68335,32.94
68842,32.88
69348,32.94
69855,32.88
70361,32.88
70867,32.94
71373,33.00
71879,32.94
72386,32.94
72892,32.94
73399,33.00
73905,32.94
74412,33.00
74917,33.00
75423,33.00
75930,33.00
76436,33.00
76943,33.00
77449,33.06
77956,33.06
78461,33.00
78968,33.06
79474,33.06
79980,33.06
80487,33.06
80993,33.13
81500,33.13
82006,33.06
82512,33.13
83018,33.13
83525,33.13
84031,33.13
84537,33.13
85044,33.19
85550,33.13
86056,33.19
86562,33.19
87069,33.19
87575,33.19
88082,33.19
88588,33.19
89095,33.19
89601,33.19
90107,33.19
90613,33.25
91120,33.19
91626,33.25
92133,33.25
92639,33.25
93146,33.25
93651,33.31
94158,33.31
94664,33.31
95171,33.31
95677,33.31
96184,33.38
96690,33.31
97197,33.31
97702,33.31
98209,33.31
98715,33.38
99222,33.38
99728,33.38
10
