ms,degC
15163,28.00
15669,28.19
16175,28.37
16679,28.56
17185,28.75
17691,28.94
18197,29.12
18702,29.31
19208,29.44
19714,29.62
20219,29.81
20725,29.94
21231,30.06
21737,30.19
22243,30.37
22749,30.44
23255,30.50
23760,30.62
24266,30.69
24772,30.81
25279,30.94
25785,31.00
26291,31.12
26797,31.19
27302,31.25
27808,31.31
28314,31.37
28821,31.44
29327,31.50
29833,31.56
30339,31.62
30845,31.69
31351,31.75
31857,31.75
32363,31.81
32870,31.87
33376,31.94
33882,31.94
34387,32.06
34894,32.06
35400,32.13
35906,32.13
36413,32.19
36919,32.25
37425,32.25
37932,32.31
38437,32.31
38943,32.38
39450,32.44
39956,32.44
40462,32.50
40969,32.50
41475,32.56
41980,32.56
42487,32.63
42993,32.63
43499,32.69
44006,32.69
44512,32.69
45019,32.75
45524,32.75
46030,32.81
46537,32.81
47043,32.81
47550,32.81
48056,32.88
48563,32.88
49069,32.94
49575,32.94
50081,32.94
50587,33.00
51094,33.00
51600,33.00
52107,33.06
52613,33.06
53120,33.06
53625,33.06
54132,33.13
54638,33.19
55145,33.13
55651,33.19
56158,33.19
56664,33.19
57170,33.19
57676,33.19
58183,33.25
58689,33.25
59196,33.31
59702,33.31
60209,33.38
60715,33.31
61221,33.31
61727,33.31
62234,33.38
62740,33.38
63247,33.44
63753,33.38
64260,33.44
64765,33.44
65272,33.44
65778,33.44
66285,33.44
66791,33.50
67298,33.50
67804,33.56
68311,33.50
68816,33.50
69323,33.50
69830,33.56
70336,33.56
70843,33.56
71349,33.63
71856,33.56
72361,33.63
72868,33.56
73375,33.63
73881,33.63
74388,33.63
74894,33.63
75401,33.63
75907,33.63
76413,33.69
76920,33.69
77426,33.69
77933,33.69
78439,33.69
78946,33.75
79453,33.75
79959,33.75
80465,33.75
80971,33.75
81478,33.81
81984,33.75
82491,33.81
82998,33.81
83504,33.81
84011,33.81
84516,33.81
85023,33.81
85530,33.88
86036,33.88
86543,33.81
87050,33.88
87556,33.88
88062,33.88
88569,33.94
89075,33.94
89582,33.88
90089,33.88
90595,33.94
91102,33.94
91608,33.94
92114,33.94
92621,33.94
93127,33.94
93634,33.94
94141,33.94
94647,34.00
95154,34.00
95661,34.00
96166,34.00
96673,34.00
97180,34.00
97686,34.00
98193,34.00
98700,34.06
99206,34.00
99713,34.06
10
