ms,degC
48,28.87
77,28.87
106,28.87
136,28.87
165,28.87
195,28.87
224,28.87
253,28.87
283,28.87
312,28.87
342,28.87
371,28.87
400,28.87
430,28.87
459,28.87
489,28.87
518,29.12
547,29.12
577,29.12
606,29.12
635,29.12
665,29.12
695,29.12
723,29.12
1024,29.19
1529,29.25
2034,29.31
2540,29.37
3046,29.44
3551,29.50
4057,29.56
4562,29.62
5068,29.69
5573,29.81
6079,29.81
6585,29.94
7090,29.94
7596,30.00
8101,30.06
8607,30.12
9112,30.12
9618,30.19
10124,30.31
10630,30.31
11136,30.37
11641,30.44
12146,30.44
12652,30.50
13158,30.50
13664,30.62
14170,30.62
14675,30.69
15181,30.75
15687,30.75
16193,30.81
16699,30.81
17205,30.87
17710,30.87
18215,30.94
18721,31.00
19227,31.00
19733,31.06
20239,31.06
20745,31.12
21251,31.12
21756,31.19
22262,31.25
22768,31.25
23274,31.31
23780,31.31
24286,31.37
24792,31.37
25297,31.37
25803,31.44
26309,31.44
26815,31.44
27321,31.50
27827,31.50
28334,31.50
28839,31.56
29345,31.62
29851,31.62
30357,31.62
30863,31.69
31369,31.69
31875,31.75
32380,31.75
32886,31.75
33392,31.81
33899,31.81
34405,31.87
34911,31.81
35417,31.87
35922,31.87
36428,31.87
36934,31.94
37440,32.00
37946,31.94
38453,32.00
38959,32.00
39464,32.00
39970,32.06
40476,32.06
40982,32.06
41488,32.13
41994,32.13
42501,32.13
43006,32.19
43512,32.19
44018,32.19
44524,32.19
45030,32.25
45536,32.25
46043,32.25
46548,32.31
47054,32.31
47560,32.31
48066,32.31
48573,32.31
49079,32.38
49585,32.38
50091,32.38
50596,32.44
51103,32.44
51609,32.44
52115,32.44
52621,32.50
53128,32.44
53634,32.50
54139,32.50
54645,32.50
55152,32.50
55658,32.56
56164,32.56
56671,32.56
57177,32.56
57682,32.56
58188,32.63
58694,32.63
59201,32.63
59707,32.69
60213,32.69
60719,32.69
61224,32.69
61731,32.69
62237,32.69
62743,32.69
63249,32.75
63756,32.75
64262,32.75
64768,32.75
65273,32.75
65779,32.81
66286,32.88
66792,32.88
67298,32.88
67804,32.88
68311,32.88
68816,32.88
69322,32.94
69828,32.88
70335,32.94
70841,32.94
71347,32.94
71853,32.94
72359,33.00
72865,33.00
73371,33.06
73877,33.00
74384,33.00
74890,33.06
75396,33.06
75902,33.06
76408,33.06
76914,33.06
77420,33.06
77927,33.13
78433,33.13
78939,33.13
79446,33.13
79951,33.13
80457,33.19
80964,33.13
81470,33.19
81976,33.19
82483,33.19
82989,33.19
83494,33.25
84001,33.19
84507,33.19
85013,33.25
85520,33.25
86026,33.25
86532,33.25
87038,33.25
87544,33.25
88050,33.31
88557,33.31
89063,33.31
89569,33.31
90076,33.31
90582,33.38
91087,33.38
91594,33.38
92100,33.38
92606,33.38
93113,33.38
93619,33.38
94125,33.38
94631,33.38
95137,33.38
95643,33.38
96150,33.38
96656,33.38
97162,33.38
97669,33.44
98174,33.44
98681,33.44
99187,33.44
99693,33.44
10
