ms,degC
48,32.25
77,32.25
106,32.25
136,32.25
165,32.25
195,32.25
224,32.25
253,32.25
283,32.25
312,32.25
342,32.25
371,32.25
401,32.25
430,32.25
459,32.25
489,32.25
518,32.13
547,32.13
577,32.13
606,32.13
635,32.13
665,32.13
695,32.13
723,32.13
1025,32.13
1530,32.06
2036,32.06
2542,32.06
3048,32.00
3555,32.00
4061,32.00
4567,31.94
5072,31.94
5578,31.87
6084,31.87
6591,31.87
7097,31.87
7603,31.87
8109,31.81
8614,31.81
9120,31.81
9626,31.81
10132,31.81
10638,31.81
11145,31.75
11651,31.75
12156,31.81
12662,31.75
13168,31.81
13675,31.75
14181,31.75
14687,31.75
15193,31.75
15698,31.75
16205,31.69
16711,31.75
17217,31.75
17723,31.75
18229,31.69
18735,31.75
19241,31.75
19747,31.75
20253,31.75
20759,31.75
21265,31.75
21772,31.69
22278,31.69
22784,31.69
23289,31.75
23795,31.75
24301,31.75
24808,31.75
25314,31.75
25820,31.75
26326,31.75
26831,31.75
27338,31.75
27844,31.75
28350,31.75
28856,31.75
29362,31.75
29869,31.75
30374,31.81
30880,31.75
31386,31.75
31892,31.75
32399,31.81
32905,31.81
33411,31.81
33916,31.75
34422,31.81
34929,31.81
35435,31.81
35941,31.81
36447,31.81
36954,31.81
37459,31.81
37965,31.81
38471,31.81
38978,31.81
39484,31.81
39990,31.87
40496,31.87
41003,31.87
41508,31.87
42014,31.87
42520,31.94
43027,31.87
43533,31.94
44039,31.94
44545,31.94
45051,31.94
45557,31.94
46063,31.94
46569,31.94
47076,31.94
47582,31.94
48088,32.00
48593,32.00
49099,32.00
49606,32.00
50112,32.06
50618,32.00
51124,32.06
51631,32.06
52136,32.00
52642,32.06
53148,32.06
53655,32.06
54161,32.06
54667,32.06
55173,32.06
55680,32.06
56185,32.06
56691,32.06
57197,32.06
57704,32.06
58210,32.13
58716,32.13
59223,32.13
59728,32.13
60234,32.13
60740,32.13
61247,32.13
61753,32.13
62259,32.19
62766,32.19
63271,32.19
63777,32.19
64284,32.19
64790,32.19
65296,32.19
65803,32.19
66309,32.19
66814,32.19
67320,32.19
67827,32.19
68333,32.25
68839,32.25
69346,32.25
69852,32.25
70358,32.25
70864,32.31
71370,32.25
71876,32.31
72383,32.31
72889,32.31
73395,32.31
73901,32.38
74407,32.31
74913,32.31
75419,32.38
75926,32.31
76432,32.38
76938,32.31
77445,32.31
77950,32.38
78456,32.38
78963,32.38
79469,32.38
79975,32.38
80482,32.44
80988,32.38
81494,32.44
82000,32.38
82506,32.38
83012,32.44
83518,32.44
84025,32.44
84531,32.44
85038,32.44
85543,32.50
86049,32.44
86556,32.44
87062,32.50
87568,32.50
88075,32.50
88581,32.50
89086,32.50
89593,32.56
90099,32.50
90605,32.50
91112,32.50
91618,32.50
92125,32.50
92631,32.50
93136,32.50
93643,32.56
94149,32.56
94656,32.56
95162,32.56
95668,32.63
96175,32.56
96680,32.56
97186,32.63
97693,32.63
98199,32.63
98706,32.63
99212,32.63
99718,32.63
10
