ms,degC
48,31.44
77,31.44
106,31.44
136,31.44
165,31.44
195,31.44
224,31.44
253,31.44
283,31.44
312,31.44
342,31.44
371,31.44
400,31.44
430,31.44
459,31.44
489,31.44
518,31.69
547,31.69
577,31.69
606,31.69
635,31.69
665,31.69
695,31.69
723,31.69
1025,31.75
1530,31.87
2036,31.94
2542,31.94
3049,32.06
3555,32.13
4061,32.19
4567,32.19
5073,32.25
5579,32.31
6085,32.38
6592,32.38
7098,32.38
7604,32.44
8111,32.50
8616,32.50
9122,32.56
9629,32.63
10135,32.63
10642,32.69
11148,32.69
11654,32.75
12161,32.75
12666,32.81
13173,32.81
13679,32.88
14186,32.88
14692,32.94
15199,32.94
15705,32.94
16211,33.00
16717,33.00
17223,33.00
17730,33.06
18236,33.13
18743,33.13
19249,33.13
19756,33.13
20261,33.19
20768,33.19
21274,33.19
21781,33.25
22287,33.25
22794,33.25
23301,33.31
23806,33.31
24313,33.31
24819,33.31
25326,33.38
25832,33.38
26339,33.38
26845,33.38
27352,33.44
27858,33.44
28364,33.44
28871,33.44
29377,33.50
29884,33.50
30390,33.56
30897,33.50
31404,33.50
31909,33.56
32416,33.56
32922,33.56
33429,33.56
33936,33.63
34442,33.63
34949,33.63
35454,33.63
35961,33.63
36468,33.69
36974,33.69
37481,33.69
37987,33.69
38494,33.69
39001,33.69
39506,33.69
40013,33.69
40520,33.75
41026,33.75
41533,33.75
42039,33.75
42546,33.81
43053,33.81
43558,33.81
44065,33.81
44572,33.81
45078,33.81
45585,33.81
46092,33.88
46598,33.88
47105,33.88
47611,33.88
48117,33.94
48624,33.94
49130,33.94
49637,33.94
50144,33.94
50650,33.94
51156,33.94
51663,33.94
52169,34.00
52676,34.00
53182,33.94
53689,34.00
54196,34.00
54702,34.00
55208,34.00
55715,34.00
56221,34.00
56728,34.00
57235,34.00
57741,34.06
58248,34.06
58755,34.06
59260,34.06
59767,34.06
60274,34.06
60780,34.06
61287,34.13
61794,34.13
62300,34.06
62807,34.06
63313,34.13
63819,34.13
64326,34.13
64833,34.13
65340,34.13
65846,34.13
66353,34.13
66860,34.13
67365,34.13
67872,34.13
68379,34.13
68886,34.13
69392,34.13
69899,34.19
70406,34.19
70912,34.19
71418,34.19
71925,34.19
72432,34.19
72938,34.25
73445,34.25
73952,34.25
74458,34.25
74964,34.25
75471,34.25
75978,34.25
76484,34.31
76991,34.25
77498,34.25
78005,34.31
78511,34.31
79017,34.31
79524,34.31
80030,34.31
80537,34.38
81043,34.31
81550,34.31
82057,34.31
82563,34.31
83069,34.38
83576,34.31
84082,34.31
84589,34.38
85096,34.38
85603,34.38
86109,34.38
86616,34.38
87122,34.38
87628,34.38
88135,34.38
88642,34.38
89149,34.38
89655,34.38
90162,34.44
90669,34.44
91175,34.38
91681,34.38
92188,34.44
92695,34.44
93202,34.44
93709,34.44
94215,34.44
94722,34.44
95228,34.44
95735,34.44
96241,34.44
96748,34.44
97255,34.50
97762,34.50
98269,34.50
98775,34.50
99281,34.50
99788,34.44
10
